ward_code,ward_name,ward_name_en,ward_slug,level,level_name,province_code,province_name,province_name_en,province_slug,lat,lon
30985,An Biên,An Bien,an-bien-30985,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,9.822,105.032
30589,An Châu,An Chau,an-chau-30589,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.444,105.39
30526,An Cư,An Cu,an-cu-30526,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,9.682,104.358
31018,An Minh,An Minh,an-minh-31018,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,9.769,105.321
30337,An Phú,An Phu,an-phu-30337,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.834,105.104
30547,Ba Chúc,Ba Chuc,ba-chuc-30547,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.494,104.909
30898,Bình An,Binh An,binh-an-30898,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,9.89,105.128
30826,Bình Giang,Binh Giang,binh-giang-30826,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.325,104.802
30607,Bình Hòa,Binh Hoa,binh-hoa-30607,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.27,104.801
30487,Bình Mỹ,Binh My,binh-my-30487,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.508,105.281
30823,Bình Sơn,Binh Son,binh-son-30823,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.264,104.846
30445,Bình Thạnh Đông,Binh Thanh Dong,binh-thanh-dong-30445,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.553,105.285
30292,Bình Đức,Binh Duc,binh-duc-30292,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.399,105.404
30505,Chi Lăng,Chi Lang,chi-lang-30505,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.711,105.119
30403,Châu Phong,Chau Phong,chau-phong-30403,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.745,105.175
30463,Châu Phú,Chau Phu,chau-phu-30463,2,Xã/Phường,91,An Giang,An Giang,an-giang-91,10.569,105.166
